,Actual Rating,Rating by Review,Difference in %,Comparison
349,1.0,5.0,80,Medium Difference
350,1.0,3.0,67,Medium Difference
351,4.0,4.0,0,No Difference
352,5.0,5.0,0,No Difference
353,1.0,5.0,80,Medium Difference
354,3.0,5.0,40,Medium Difference
355,5.0,5.0,0,No Difference
356,5.0,5.0,0,No Difference
357,1.0,3.0,67,Medium Difference
358,3.0,5.0,40,Medium Difference
359,5.0,5.0,0,No Difference
360,5.0,5.0,0,No Difference
361,1.0,5.0,80,Medium Difference
362,1.0,5.0,80,Medium Difference
363,5.0,3.0,40,Medium Difference
364,1.0,1.0,0,No Difference
365,5.0,5.0,0,No Difference
366,1.0,4.0,75,Medium Difference
367,4.0,5.0,20,Medium Difference
368,4.0,5.0,20,Medium Difference
369,1.0,1.0,0,No Difference
370,4.0,4.0,0,No Difference
371,4.0,3.0,25,Medium Difference
372,5.0,5.0,0,No Difference
373,1.0,3.0,67,Medium Difference
374,5.0,5.0,0,No Difference
375,1.0,3.0,67,Medium Difference
376,5.0,5.0,0,No Difference
377,5.0,5.0,0,No Difference
378,5.0,5.0,0,No Difference
379,2.0,5.0,60,Medium Difference
