,Customer,Date,Rating,Review Title,Review Body,New Rating
10,RakhuNathan,2020-12-18,4.0,performance excellent battery draining fast heating issue,writing review days use iphone phone camera excellent like dslr fast processor face id feature looks great overall everything fine issue phone battery draining fast use battery hours continuous use charge apple look,4
11,ShahnajNihal,2020-11-07,5.0,one beast phone,writing week usage iphone x oneplus welloverall experience switching ios good interface speed smoothness camera support everything well crafteri talking pros cons respect apple standards design absolutely wonderful light weight premium feeling phone vintage boxy speed camera course normal picture comes pretty good usually need professional battery life talk battery life day day life instead nerdy screen time doctor usually play much games surf web lot youtube videos social media lot whatsapp sometimes heavy use time get one day pretty easily around hr screen time stand time relate believe bad battery pretty good batteryconsnothing much nowthe back phone fingerprint magnet attracts lot themanother concern charging adapter provided box,5
12,S.Siva Ram Kris,2020-11-07,5.0,iphone review,positives fast picture quality video quality seems superb less charging time requiredcons shorter battery life specified expected,5
13,Tarun barath,2020-11-07,3.0,decide iphone,thinking lot decided go ahead iphone original price credit card discount old phone exchange reward points money inclusion bought also additional discount red white variants let go price considering iphone would supported ios years based current price cost per year iphone years would cost excluding exchange discount per year price gap phones seem make huge difference iphone already year old costing less per display purchased iphone mom last year observing display months compared iphone iphone display far superior better pixel bezels bezels iphone much thinner makes phone look decent unlike apart phone incredibly light making easy hold ithow choose really tight budget suggest go variant using one plus years storage occupied make good sense check current phone usage either way also opt icloud storage would cost approximately difference amount go could definitely included charger android user migration would little time consumingupdate uploaded couple pictures shot using automatic night mode,4
14,Mr. k  singh,2020-11-07,4.0,nt buy amazon,planning buy iphone please buy stores onlyi got defective product complain amazon customer care requested replacement simply deny replace itdo nt waste money,4
15,Shreyas Zad,2020-11-08,5.0,phone iphone,first apple device happy long confusion iphone believe worth waiting working well till checked service support coverage genuine productandiphone white color legendupdate month approx using month love phone smooth forgot lagging battery backup good lasts one half day easily normal usage charge phone battery around battery health monthcamera awesome gives nicely detailed pictures true colorsphone speakers really great warm loud nt shout listening music watching videos enjoyable without earphones speed better phones haveworth every penny,5
16,Anil V Oommen,2020-11-07,3.0,first time iphone users,iphone prices announced dilemma whether go wait since first iphone thought get logic phone last couple years provided nt drop often looking phone long time horizon go one better chip display able handle upcoming updates well apps get even intensive futureall technical specs really good display oled one even visible extreme sunlight build quality miles apart brother uses samsung galaxy note holding one way way leagues android phones processor ram capable even running multiple intensive applications adobe lightroom imovie couple apps open slide seamlessly trick since apps made iphones ios versions apps hardware integrated hence work better classic example instagram instagram feel bit polished iphone android faceid even works light thats ca nt identify mask left pin outsidethe battery yes smaller battery yes intensive use run day bit prudent definitely last day use outdoor photography bit editing email apple music youtube whatsapp instagram end day pm usually percent remainingso yes iphone yes really something nice hold use daily,4
17,Good vegetable,2020-12-24,4.0,usb,thing usb adapterie u need buy adapter cost u around earphonesapple became worse,5
18,Debabrato Chakraborty ,2021-02-07,1.0,wrost part ceremic shield,called ceremic shield scratchless many scratches phone pls use tempered glass protection scratches,3
19,Amit Kumar,2020-11-08,5.0,apple bas always apple,pros blog proscons apple work improve battery lifecharger charger charger apple really cares environment much must deliver phone years give users usb cdon rely screen advertising use cover glass still glass observe scratches month india still price terms dollars,5
20,Abhishek James,2020-11-14,5.0,best phone could bought,first iphone purchase coming oneplus nt regrets switch yes switch painful especially lost whatsapp chats worth comparing oneplus phone features better form smooth fast good battery camera battery haptics iphone way smoother fast great camera battery haptics slight learning curve took days get used gestures navigations smooth sailing negative feedback would charger box get applecom want fast one,5
21,Nag,2021-01-28,1.0,phone good apple cheap thing providing adaptor,browser support video phone awesome doubt camera also expected smooth phonebut adaptor charger iphone provide data cable people spend spend charger inappropriate good people buy continue providing charger meaning phone people buy phone charger charge phone first experience mine iphone bad charger new c type adaptor getting everywhere people charge phone big amount thing provide full sets charger,3
22,Amazon Customer,2020-12-02,4.0,nice phone,good product using plus till using one half month impressive battery best comes whole day fast smooth nice design,5
23,shubham,2020-12-14,5.0,phone,upgraded one plus pronever used ios must say phones supposed bejust go itearly delivery amazon well packed secure package,5
24,S.Siva Ram Kris,2020-11-07,5.0,perfect flawless phone,masterpiece phone coming flagship android phone looked like big leap totally next level display operating system processor camera phone master wow engineering marvel apple inc,5
25,Tarun barath,2020-11-07,3.0,excellent phone,excellent phone using iphone since iphone launchediphone exceptionally good phone lovely screen colours vivid elaboratei pretty heavy user phone daily basis battery really lasts whole day comfortably actually worry regarding battery spite heavy usagecamera good takes perfect picture especially portrait mode actually superbbuttery smooth operating system ios superb actually feel difference hz refresh rate phone really lag dual sim capability also lovely helpful,5
26,Aseem Mishra,2021-01-27,5.0,snappy performance good battery backup,excellent performance apps open almost instantly battery life great gets around hrs screen time remaining last checked initially restoring icloud would consume lot battery give day two would settle,5
27,Brijesh Pandey,2021-01-16,4.0,doubtful product,feeling difference buying products amazon stores directly compared friends battery life huge change gets day mine ends within hours,4
28,Mahabala,2020-12-16,5.0,overall good phone minor setbacks,overall good phone feels premium made high quality materials great performance excellent camera quality great design screen quality processor super fast phone never heats even performing intensive tasks speakers loud clear give high quality soundone problem encountered battery life great definitely average another issue notch makes phone look outdated especially face id also useful wearing masks causes lot inconvenience since phone fingerprint scanner phone also limited refresh rate makes less compelling competition makes phones refresh rate much lower price,5
29,NQ1194,2021-01-31,5.0,supreme phone,phone models premium phones coming price costly quality awesomecamera display processor look body premiumone think like phone coming adapter headphonesover rating iphone,5
30,Prashant H,2021-01-09,5.0,iphone review,good product little bit smaller iphone iphone xr design nice litter colour xr iphone face issue face id opening brother faceit fixed reset face id,5
31,Ananda Mukherjee,2021-01-01,5.0,screen size bit small otherwise fantastic display fantastic sound masterpieces,screen size bit small otherwise fantastic display fantastic sound masterpiece tim cook could given charger earphone,3
32,Customer 645,2020-12-20,5.0,truly smartphone,comparing iphone android devices really feels like iphone really smart smart typing ui features phone fast also offers unique features like intelligent charging health connectivitysleep settings one surprised use camera picture quality definitely best best iphonemy suggestion truly intelligent incredibly fast phone one buy,5
33,Sunny Uppatla,2020-12-22,4.0,intelligence future,avid android user past years move iphone calculative yet bolder definitive movelet look key pointers saw stunning design spectacular oled display pouring vivid colors smooth app flow transitions longer battery life hrs without automation best usage camera bringing life captures make using apple charger insane charging percent mins mins half battery love border outlay beauty almost month usage boldly say best switch one make know price tag always hefty choosing long term reliability kudos apple inc amazon amazing delivery days please avoid playing apple arcade games would drain battery like anything best guess rightly optimised come see apple looked environmental protection removing charger earphones guess come reasonable price really put know market player serving,4
34,Amesh Gharat,2021-03-26,4.0,defective refurbished iphone,item looks defective really doubt refurbished seconds faulty device sold dealer put replacement know shows pick showing replacement possible till mar showing date collection,4
35,Thanmai,2020-12-02,5.0,love first sight,looking love phone got blue looks ravishing since us go cover would still suggest go white back covers white would look good took quite time decide blue white white novelty timelessyou go one without second thoughts plan keep yrs least else better go iphone would value money,4
36,S.Siva Ram Kris,2020-11-07,5.0,timely safe delivery amazon wonderful apple product usual,aware apple product scared order online however great experience amazon buy many expensive products therefore ordered amazon kept trust intact apple iphone awesome usual good battery life quick processor nice performance,4
37,Tarun barath,2020-11-07,3.0,get money back,battery charging repeated request return product fallen deaf ears quite frustrating disgusting somebody immidialey look serious issue refund money,5
38,Vishnu Allampalli,2020-11-10,5.0,due low battery always mind leave top notch smartphone bionic,till concerns battery everything far top notch little hesitating purchasing since first interaction ios environment used works fine since fan much customization ui totally fine plus gaming experience also good till played nfs limit works like champ also really like ram working since app background keeps running without always reloading openedone last since nt used hz refresh rate tell since old phone also also awesome till nt used much due covid low light worked good doubt hope help,5
39,amit,2020-12-07,5.0,review,amazing product nice qualityi usually never order electronics online always buy physical store time checked everywhere iphone stock option buy onlinei bit worried fraud fake products opened package realised fake,5
40,manu,2021-03-12,4.0,nice excellent missing charger corect,camera quality excellent battery life also ok compare android much good recently quite first time user apple company sells separate every part business like corect,4
41,Aman Srivastava,2020-12-11,5.0,best deal got,well dont say much phone working perfect would say go really think buy phone dont worry worth almost month havent face issue even battery backup fine,5
42,Aditya,2021-02-26,1.0,powerpacked device ticks boxes,transitioned world android ios seems like truckload difference worlds simplicity refinement ease use ecosystem classic battery life haptics camera overall fluidity ios makes impressive impact terms usage using iphone first time reaffirms one thing think want switch back android ecosystem ever,2
43,sanju shukla,2021-02-17,5.0,classy mobile less battery capacity,used week display good classy camera good even low light product light weight compared previous versions xr battery lasts two days low usage charging takes around apple chargeroverall good mobile less battery backup might boosted,5
44,Prof Dhillon,2021-03-06,5.0,good phone charger earphones,disappointed see charger earphones sad apple decided increase price iphones every year still much cost cutting,5
45,KUMAR RAJESH CHOUDHARY,2021-04-08,1.0,much difference predecessor,iphone much change expect change look outside inside still functions samebattery like improved okayish currentlyvalue money really inr lot money,3
46,Divyansh srivastava,2021-03-05,4.0,phone buy,vanilla phone buy average user sweet spot fans really want cameras go pro max,4
47,Kalp,2021-01-09,5.0,worth every penny,browser support video happy device feels premium blazing fast ultra premium loved,5
48,S.Siva Ram Kris,2020-11-07,5.0,fault quality product delivered,product delivered actually value money dent products ca nt identify apple authorized persondetected found dent denied service warranty bad product delivered service also satisfying look like refurbished product delivered go consumer court satisfy complaint,5
49,Tarun barath,2020-11-07,3.0,fantastic beast find amazon,best iphone used camera beast speakers superb display unbelievable battery never better touch response poor unable type like used iphone,5
50,G narayana reddy,2021-01-09,5.0,amazing allrounder,get good phones cheaper also get phones certain features get looking well rounded phone ticks right boxes sheer simplicity,5
51,Keshav,2021-01-22,5.0,phone definitely address needs,want say battery backup iphone considerably improved everything best average user indulge social life little bit photography need go pro pro max iphone justice,5
52,mudassir mansuri,2021-03-20,5.0,best iphone ever,excellent iphone ever first iphone previously hardcore android user switching iphone easy ios buttery smooth android user face huge issue switchbest camerabattery life watts iphone charger bestno heating issue observedoverall best iphone android users switch,5
53,mano,2021-02-06,5.0,great phone us tax cost,got around awesome used transitioning pretty good adapter got around okay deal us phone cost around including taxes converts around india hdfcbank discount emi discount cost around short good deal iphone,5
54,Deepti,2021-02-25,5.0,inferior capability,good phone good color buying blue one rest things fine device india capabilities mmwave missing antenna cut like us units mmwave however sub available way inferior,5
55,Manu Jain,2021-01-22,3.0,extremely bad call quality,keep hearing crackling sound calls voice clarity takes like mins connect call cheaper android phone smooth call quality connects instantly phones network carriercan get phone replaced get refunded,4
56,AM,2020-11-11,5.0,great phone,great phone battery improves cycles,5
57,Sahil Thakare,2020-11-07,5.0,awesome phone,iphone amazingly good camera awesome update battery days usage,5
58,shijin,2021-04-08,1.0,iphone oled panel yellow tint,surprise body mentioned review iphone x previously bought iphone major issue saw display iphone weird yellow tint compare older models comparisons added photo iphone x left iphone right white looks much cooler iphone x compare iphone dont know hardware issue software issue,3
59,umer khan,2021-02-13,4.0,power key working day use,phone power key working days use helpless going bacause amazon gives day replacement iphone store far lived,4
60,S.Siva Ram Kris,2020-11-07,5.0,great phone,far loving new iphonethe battery life good need charge day used camera recording videos hours still battery survived daycamera good,5
61,Tarun barath,2020-11-07,3.0,feel premium,browser support video changed iphone x got new blue colour something unique apple great battery backup edges look premium overall great buy,4
62,Aman,2020-11-17,5.0,camera work,camera work,5
63,Legendary,2020-12-15,5.0,mobile performance good pubg,phone needs much optimisation aim assist working pubg phone,5
64,Krishna Gondchar,2021-04-10,5.0,awaited iphone,firstly thin weight reduced apple changed display super retina edgetoedge oled features ceramic shield protect hardest falls drops definitely going love edges time good option upgrade previous models,5
65,Rishabh Jaggi,2021-03-10,5.0,new,apple dropped ear phone charger adapter pack charger adapter required first time users atleast option towhatsup fb part started apps nowit early comment newer model nothing much changes far ui concerned still icons ther iphone nt feel bpught phone years ago,5
66,parimal singh,2021-02-20,4.0,never buying reccomending others,reviewing days use dissapointed battery life back camera ok heating issue worst may expected alot also return policy amazon product,5
67,Amazon Customer,2021-04-04,1.0,true,iphone lover always iphone loverthe phone great smooth user interface suits basic needs great camera quality,5
68,Poonam,2020-11-15,5.0,faulty,product found faulty one week microphone speaker working phone warranty period got replaced new one,5
69,Mahesh Yadav,2020-12-21,5.0,iphone iphone wauhhhhhhhhh,upgrade almost year old iphone iphone worth every penny bought blue amazon got delivery days perfect phone needs feels solid holding hand display feel much satisfied iphone happy,5
70,Bishal Roy,2021-03-06,4.0,love,love iphone superb last whole dayscreen oled rocksupgrading n worth waitingit better mrp little lower like,5
71,manoj,2021-01-06,3.0,disappointed finger prints,first iphone satisfied,5
72,S.Siva Ram Kris,2020-11-07,5.0,good buy,great device amazing cameras battery good day play games sure,5
73,Tarun barath,2020-11-07,3.0,hehehehe,got birthday thanks jejus,5
74,draj059,2021-01-06,4.0,great phone,impeccable phone apple upgraded iphone battery could little longer though,5
75,Milandeep singh,2021-01-19,5.0,iphone clicking good pictures,recently purchased iphone click stunning looking night shotsclicking good pictures night required professionalgrade cameras earlier people click really good photos using smartphones goes one step new apple iphone series,5
76,Sameer,2021-01-21,1.0,great phone,upgraded iphone guess disappointed apple done great job iphone everything needgo without doubt,3
77,Ashutosh m.,2021-03-24,1.0,phone product red gb review,well must say product red color looks trendy impressed battery life phone know nt come charger need buy separate one still think value money,5
78,Girish Panchal,2021-01-03,5.0,truly apple,first look feel phone absolutely amazing welcoming change using android phone months although higher refresh would nicer gorgeous screen really miss great phone,5
79,Amazon Customer,2020-12-18,3.0,rounder awesome n expensive beauty,love iphone much excellent display battery life camera processor chip outstanding one demerit cost phone expensive cheers,4
80,Amazons,2021-04-06,1.0,really amazing phone,first iphone used one plus believe iphone amazing device everything perfect complaints anything display design camera battery amazing im really happy iphone superb phone,5
81,Buyer,2021-03-19,5.0,bad battry,battry poor using look like wasted money,5
82,Preksha,2021-01-27,1.0,superb,superbbb phonefirst time using phone feeling better experience phone u use phone u never buy stupid oppo vivo like android phone,5
83,Rajeev Raghavan,2020-12-06,5.0,ringtone sound decreases seconds normal,product good phone get call ringtone sound initially high seconds ringtone sound decreases phone normal iphone phone fault piece please anybody clarify doubt thanks advance,4
84,S.Siva Ram Kris,2020-11-07,5.0,osm phone,super duper,5
85,Tarun barath,2020-11-07,3.0,sure phone need take apple showroom check,reason phone going blank suddenly using whatsapp apps,4
86,Tenzin,2021-01-29,5.0,great mobile use,everything quite fine matters battery backup lowhardly normal user lasts hours,5
87,Ranjeet,2021-01-05,3.0,return,product hang plz replace iphone work sim tray battery problem,4
88,Ananthakrishnan N.,2021-01-06,5.0,good buy recommended,iphone always iphone good cx ux trouble free usage camera time super clear loving,5
89,Sumit Shey,2020-11-20,5.0,apple want bite,apple loosing grip premium product slows hangs often reboots irritate slowly becoming symbol rather actual smart phone,5
90,iXist,2021-01-09,5.0,camera pixel per expection,long battery backup two three hours,5
91,DEV SA,2021-04-19,5.0,best smartphone used till date,used smartphone good would say perfect need sometimes feel likes touch like butter battery works days dual sim usage,5
92,Sheetal,2020-12-22,5.0,facing problem less life battery,facing less life problem battery need replace itvery poor service pick scheduled today however delivery boy picked phone inspite coming company poor service amazon disappointed,4
93,Swaroop Mandlik,2021-02-08,5.0,awesome phone terms battery build camera quality yes colour,loved absolutely mean apple making phone smoother improving build camera quality better previous version see major changes apple,5
94,Rajat Mittal 1986,2021-03-15,5.0,best phone,apple user always love upgrade new user delightedi loving upgrade,5
95,Ankur Kapoor,2020-12-26,5.0,good mobile,excellent mobile screen qualitysound quality excellent battery life excellent totally great mobilesuper camera,5
96,S.Siva Ram Kris,2020-11-07,5.0,great experience,think one would regret iphone yes battery life would better acceptable nothing like draining time one would really enjoy latest model apple rather counting battery life,5
97,Tarun barath,2020-11-07,3.0,awesome,superb delivered within days polite delivery boyagent great packaging phone,5
98,Sourabh Sharma,2021-03-15,5.0,best gaming camera quality,best camera quality screen resolution superb battery performance like also play highly graphics games best class premium looks great performance else want,5
99,Aiman,2021-03-16,1.0,product switched permanently,product switched permanently week,5
100,avinash chandra,2021-01-21,5.0,phone already use,phone already used,5
101,Balaji,2020-11-27,5.0,dontrun,hiping product camera blur picture quality,5
102,Amazon Customer,2020-11-15,5.0,iphone,osum phone,5
103,Gomathi Sujini,2021-02-20,2.0,speaker phone heating issues need replacement soon possible,phone heating much speakers also working properly last week plz need replacement,4
104,INDRAJIT PAL,2021-02-03,5.0,lovely product,usual apple products upto mark extremely efficient delivery amazon keeo guys,5
105,Sorav kumar R.p singh hospital indra road guru Kirpa variety store 7986727779,2021-02-15,1.0,great,everything good battery life poor,5
106,JK,2021-04-12,5.0,good product,expensive,5
107,Kuldeep S.,2021-03-23,3.0,brand always brand,browser support video killing awesome,3
108,S.Siva Ram Kris,2020-11-07,5.0,awesome experience,first time user must say actually privilege one awesome user experienceon time delivery mark packaging amazon also added smiles place,5
109,Tarun barath,2020-11-07,3.0,best iphone till yet,practical phone practical life,5
110,Ramesh rawat,2021-02-11,1.0,display issue,iphone display warm yellow even turned truetone nightshift,5
111,bikrams,2021-02-15,5.0,great product ios lovers,loved phone x size design one better aspects light phone,5
112,Ramesh Chand Verma,2021-04-03,2.0,amazing iphone,gem product meets expectations display battery life camera best class,5
113,meenal,2021-02-22,5.0,safe buy amazon time bought iphone,know product features writing amazon trusted buy iphone without hesitations,5
114,Anshul,2021-03-18,5.0,awesome phone,amazing product,5
115,Narasimha.mekala,2021-04-16,5.0,recieved bad quality,battery pock goog actually phone picking battery,5
116,RRS,2021-02-10,5.0,simply amazing,nice model iphone features good except battery go maximum hrs,5
117,C Vanalalhmangaiha,2021-01-26,5.0,better,awesome,5
118,Kunal giri,2021-04-14,5.0,super,good,5
119,Bhavkan Indane,2021-03-26,1.0,smoothlike silk,totally worthy one buy cameras theee best night mode exquisite surprisingly battery back good overall good deal buy,3
120,S.Siva Ram Kris,2020-11-07,5.0,great phone great issues,phone good suddenly showing issues like camera gallery crash change wallpaper frequently taje much pic,5
121,Tarun barath,2020-11-07,3.0,best best best,browser support video thankyou beautiful phone isi love blue colourlove,5
122,kamadeep singh,2021-03-13,1.0,little bit expensive,better build quality compared iphone camera good iphone compared one,3
123,Yogendra Reddy,2021-04-04,3.0,battery life bad,overall iphone nice battery life bad phone getting heat also camera problem night mode,5
124,Abhinay dwivedi,2020-11-18,5.0,need change n upgrade,like want change apple propls advice,5
125,saikumar,2021-04-01,1.0,apple always best,best class bit priced,5
126,Rohan Kotecha,2021-04-25,5.0,best iphone ever,using iphones since long time one best ever iphone battery decent otherwise top notch,5
127,Swati Mondal,2021-01-11,4.0,amazing amazing phone,little hot phone gamingworld best phone handdon worry,5
128,Mousumi Chakraborty,2021-02-28,5.0,best iphone ever,iphone far best iphone wonder getting praises everyone thanks amazon smooth delivery,5
129,Mk singh ,2021-01-02,5.0,good,price bit high,5
130,Prashant Moily,2021-04-25,5.0,good product,nice product,5
131,Naveen,2021-03-07,5.0,super performance iphone,super duper iphone love world bigest brand smart phone,5
132,S.Siva Ram Kris,2020-11-07,5.0,charger disappointing,iphoneonly disappointment nt give charger along,4
133,Tarun barath,2020-11-07,3.0,apple future technology,browser support video first time switching android iosit amazingbatter life awesome,3
134,Thirumalairaja,2021-04-06,3.0,,,5
135,Manish Kumar Dhaka,2020-12-24,5.0,iphone best mobile,good,5
136,MAHESH,2021-02-06,5.0,best best,awesome phone best technology two months used find negative,5
137,Satpal Verma,2021-02-07,5.0,ok,good,5
138,Imran Sheriff,2020-11-17,5.0,best,best device apple manufacturedamazon delivery fast robust,5
139,Chiluka lachanna,2021-03-26,1.0,compact kid phonies,phone good performance,3
140,Dr N Mariappan,2021-03-09,4.0,best camera phones,low light photography killer phone,5
141,drpbaskar ,2021-04-09,5.0,awsome,loved new iphone,5
142,V RAMAKRISHNA,2021-04-15,4.0,go guys,lot new features added new iphone night mode improved satisfactory battery back upworth every penny,5
143,Shrinivasreddy,2021-04-24,5.0,always good,good one,5
144,S.Siva Ram Kris,2020-11-07,5.0,performance awesome,good product,5
145,Tarun barath,2020-11-07,3.0,extremely satisfied,best phone one ever getif r old iphone user one,4
146,rahul prasad,2021-02-16,2.0,value money,battery life ok getting warmth high using normal also,5
147,Sonam arora,2021-01-21,5.0,awsm fone,nice loved,5
148,Mansi,2021-01-15,4.0,things good,feel veryyyyyyy gooooodddd screen good touch response awesome promoting buts goooodddd,5
149,Reetimukta Rath,2021-01-18,2.0,battery draining even standby,battery discharging even standby,4
150,Swadha,2021-04-13,1.0,nt worth money,gb gb storageno chargerno air podsmore fakelow quality camera,3
151,Khaled,2021-02-02,5.0,amazing,amazing apple phone long,5
152,Mukul b.,2021-03-18,5.0,first choice awesome,awesome iphone,5
153,Regins s.,2021-01-28,5.0,value money,value money battery life camera performance everything perfect awesome,5
154,Vaibhav Pratap Singh,2020-12-22,5.0,reliable device go without second thought,simply amazing,3
155,ASISH MANNA,2020-12-29,5.0,recommended anyone contemplating totally safe buy retailer,love colour,5
156,S.Siva Ram Kris,2020-11-07,5.0,nice product,super product,5
157,Tarun barath,2020-11-07,3.0,thanks amazon,good bettory backup much short duration hour capure pictures videos,3
158,Roshan ,2021-03-18,5.0,ringer volume almost inaudible,ringer volume extremely low would really appreciate phone replaced,5
159,Subashis Biswas,2020-12-26,5.0,sucking sack,ios updates sucks,5
160,CliffordGlasso,2021-04-23,4.0,nice phonr,great performance,5
161,Anudeep Chowdary,2021-03-04,5.0,wow,awesomely smooth,5
162,Alok Tripathy,2020-12-27,5.0,excellent,excellent,5
163,Sonu,2021-01-20,5.0,perfect,awesome exactly expected,5
164,DEEPAK LENKA,2021-03-05,5.0,perfect phone,value money,5
165,RAJA,2020-12-12,4.0,satisfied upgrade se,great buy,5
166,Nik,2020-11-26,5.0,amazing phone,excellent camera build quality decent battery life,5
167,Anbu,2021-02-28,4.0,best product,thank amazon bring best product,5
168,S.Siva Ram Kris,2020-11-07,5.0,better iphone models,better iphone models batter back improved light body weight,5
169,Tarun barath,2020-11-07,3.0,phone,good,5
170,Sharath ,2021-02-02,5.0,apps working,time apps working app update,5
171,Shashikant,2020-11-18,5.0,amazing performance,good looking,5
172,Imtiyaz k.,2020-11-14,5.0,,good,5
173,Sameer,2021-04-24,5.0,priced,phone good priced,5
174,Hiren,2021-04-01,5.0,design impressive,excellent phone,5
175,Mohit,2021-03-09,5.0,nice product,battery life good screen quality good,5
176,Amazon Customer,2021-02-09,4.0,nice phone,nice phone costly,5
177,dalbir,2021-03-22,5.0,best mobile,best mobile,5
178,Gaurav Trivedi,2021-01-28,5.0,top notch,best ever phone apple costly always,5
179,sarika,2021-04-05,1.0,get adaptor separately provided box,iphone super handy blue cool color loved,3
180,S.Siva Ram Kris,2020-11-07,5.0,superb,value money,5
181,Tarun barath,2020-11-07,3.0,worth,love phone,5
182,Chaitanya,2021-01-29,2.0,awesome,liked phone awesome,5
183,Rohan Sharma,2021-04-25,5.0,overall performance iphone good,good,5
184,Amazon Customer,2020-11-21,5.0,best,awesome product genuine seller,5
185,Varun saini,2021-04-12,5.0,good,screen time hours,5
186,Krupal,2020-11-22,5.0,nothing think buying excellent performance excellent phone,camera perfectno doubtbut rate low,5
187,Ayushee,2021-01-29,5.0,great product,great product,5
188,Shahnawaz khan,2021-01-24,5.0,good,good,5
189,Dulichand,2020-12-30,5.0,best purchase ever,must buy enjoying every bit,5
190,Shoma,2021-04-20,1.0,shandaar phone value money,charger adapter provided apple,5
191,RAMANA MIDDE,2021-04-05,1.0,go pro,cld hav better battery,5
192,S.Siva Ram Kris,2020-11-07,5.0,excellent product,apple never fail expectations,5
193,Tarun barath,2020-11-07,3.0,powerful phone,powerful phone wonderful features,5
194,Sharat,2021-03-22,5.0,first iphone satisfied,awesome camera quality night mode pics grt,5
195,Deep,2021-04-21,5.0,best iphone till loving,best iphone ever battery life ok problem,5
196,Manish mishra,2021-03-09,5.0,average phone,expected abt brand,5
197,pradeep maithani,2021-04-16,5.0,mobile ka badshah,fastest camera best photos,5
198,Harmeet,2021-03-05,5.0,mind blowing,king mobiles,5
199,pramesh arambam,2021-03-20,5.0,awesome device,wonderful device loved apple,5
200,Manojkumar P,2021-02-14,5.0,good one,go another great iphone,5
