,Customer,Date,Rating,Review Title,Review Body
10,RakhuNathan,2020-12-18,4.0,"Performance is excellent,battery draining too fast and heating issue","  I am writing this review after 40 days of use of iPhone 12. phone camera is excellent like DSLR ,very fast processor ,face ID feature looks great ,overall everything is fine but only issue which this phone has is , battery draining too fast. You can use 100% battery only for 5-6 hours of continuous use after that you have to charge it. Apple should look into this."
11,ShahnajNihal,2020-11-07,5.0,One beast of a phone.,"  I am writing this after a week of my usage with this iPhone 12. I have had the X before and OnePlus 6T as well.Overall experience of switching to iOS again is so good. The Interface, the speed, smoothness, camera, support, and everything is so well crafter.I’ll be talking about the pros and cons with respect to the apple standards of course.Pros:1. The design is absolutely wonderful, its very very light weight and premium feeling phone with vintage boxy look.2. The speed, the performance.3. Camera of course. The normal picture comes out pretty good, they don’t usually need any professional touch.4. Battery life - I’ll talk about the battery life in day to day life instead of nerdy Screen On Time. I am a doctor and usually don’t play much games on this but I surf web a lot, youtube videos, social media and a lot of WhatsApp and sometimes heavy use for 10% of the time. It can get through one day pretty easily with around 8-9 hr Screen on time, 10hr Stand by time, so you can relate now. Don’t believe that it has bad battery, it has a pretty good battery.ConsNothing much until now.The back of the phone is fingerprint magnet, attracts a lot of them.Another concern was the charging adapter which is not provided in the box."
12,S.Siva Ram Kris,2020-11-07,5.0,iPhone 12 review,"  Positives: Very fast, Picture Quality, video quality seems superb,  less charging time required.Cons: Shorter battery life than specified and expected."
13,Tarun barath,2020-11-07,3.0,How to decide between iPhone 11 and 12,"  After thinking a lot, I decided to go ahead with iPhone 12. The original price is ₹ 84900. After credit card discount(₹6000), old phone exchange(₹3450) and reward points money(₹4530) inclusion, I bought it for ₹70920. There’s also an additional 3000 discount on red and white variants but I couldn’t let go of blue1. PRICE: Considering iPhone 11 would be supported by iOS for 4 years, based on the current price it’d cost 13k per year and iPhone 12 for 5 years would cost 14.9k(excluding exchange discount) per year. For me price gap for both phones didn’t seem to make a huge difference as IPhone 11 is already an year old and costing only a 2k less per year.2: DISPLAY: I’ve purchased iPhone 11 for my mom last year and been observing the display for some months. Compared to iPhone 11, the iPhone 12 display is far superior and has better pixel quality.3: BEZELS: the bezels of iPhone 12 are much thinner and makes the phone look decent unlike in 11. Apart from this, the phone is incredibly light making it easy to hold it.How to choose between 64/128gb:If you’re not really tight on budget, I’d suggest to go for 128gb variant. I’ve been using one plus for 1.5 years and storage  occupied about 60gb. So it’d make good sense to check your current phone usage. Either way you can also opt for iCloud 50gb storage which would cost approximately the difference amount of 64 and 128 go for 5 years.CONS:1. Could have definitely included the charger for the price2. If you’re an android user, migration would be little time consumingUpdate: I’ve uploaded a couple of pictures shot using automatic night mode. :)"
14,Mr. k  singh,2020-11-07,4.0,Don't Buy from Amazon,  If you are planning to buy an iphone then please buy from stores only.I got a defective product and when I complain about it to amazon customer care and requested for replacement they simply deny to replace it.Don't waste your money.
15,Shreyas Zad,2020-11-08,5.0,What a Phone. Its iPhone,"  Its my First Apple device. Happy to own it after a long confusion between iPhone 11 and 12. I believe, it was worth waiting for 12.Received it on 04-Nov-2020. Working well till now. Checked Service Support Coverage. Its a genuine product.AndiPhone in white color is legend.Update after 1 month approx.-----------------------------------After using it for a month I am in love with this phone. Too smooth and I forgot what is lagging...Battery backup is very good and lasts one and half day easily with normal usage. I charge my phone when the battery is around 30%. Battery health is 100% after a month.Camera is awesome and gives very nicely detailed pictures with true colors.Phone speakers are really great and warm. They are loud but don't shout. Listening music or watching videos are enjoyable without earphones too.4G speed better than other 4g phones I have.Worth every penny."
16,Anil V Oommen,2020-11-07,3.0,For first time iPhone Users,"  When the iPhone 11 prices were announced, I was in a dilemma whether to go for the 11 or wait for 12. And since it was my first iPhone, I thought why not get the 12. The logic being: The phone will last for a couple of years (provided you don't drop it often), and if you are looking for a phone for a long time horizon, then go for the 12. This one with the better chip and the display will be able to handle the upcoming updates as well the apps which will get even more intensive in the future.All technical specs are really good, display is an OLED one, even visible in extreme sunlight. Build quality is miles apart, my brother uses a Samsung Galaxy Note 10+, and holding this one is way way out of the leagues of all the android phones. Processor and RAM are capable of even running multiple intensive applications, I had Adobe LightRoom, iMovie, and a couple of apps open, all to slide between them seamlessly. The trick here is that since apps are only made for a very few iPhones and iOS versions, these apps are hardware integrated, hence work better. A classic example is Instagram. Instagram does feel a bit more polished on the iPhone than android. FaceID even works when there's no light, so thats that. But it can't identify you with the mask, you're left to the PIN when you're in the outside.The Battery: Yes it has a smaller battery, yes with intensive use it will run out in a day, but if you are a bit prudent with it, it'll definitely last for more than a day. I use 4G in between, outdoor photography a bit, editing, email, Apple Music, Youtube, WhatsApp and Instagram. By the end of the day (7:00 PM) , I usually have 40 percent remaining.So yes, its an iPhone and yes its really something nice to hold and use daily."
17,Good vegetable,2020-12-24,4.0,No USB,  1st thing is there is no USB adapterI.e. u need to buy adapter and it will cost u around 500Also no EarphonesApple has became very worse
18,Debabrato Chakraborty ,2021-02-07,1.0,Wrost part of ceremic shield,  They called ceremic shield but it’s not for scratchless!!!!! I have so many scratches in my phone.......pls use tempered glass for protection of scratches!!!!!
19,Amit Kumar,2020-11-08,5.0,Apple .....bas always been just apple.,"  Pros:there are 1000s of blog for prosCons:Apple has to work to improve their battery lifeCharger ! Charger ! Charger ! If apple really cares about environment so much then they must deliver a phone once in 3 years. Or, give the users a usb c.Don’t rely on their screen advertising. Use a cover. Glass is still a glass and you can observe scratches after a month of usage.5g isn’t for India, still price in terms of dollars was same!"
20,Abhishek James,2020-11-14,5.0,Best phone I could bought,"  This is my first iPhone purchase , coming from oneplus 7 I don't have any regrets about the switch. Yes the switch was painful (especially because I lost all my whatsapp chats) but is worth it. comparing to oneplus 7, this phone has all features from it but in better form. My OP7 was smooth, fast had good battery camera,battery and  haptics. iPhone is just way smoother,fast and have great camera,battery and haptics. There is a slight learning curve. took 2 days to get used to gestures and navigations but is smooth sailing. the only negative feedback would be no charger in the box. You will have to get from apple.com if you want fast 20W one."
21,Nag,2021-01-28,1.0,Phone is good but apple is doing cheap thing that not providing adaptor,  Your browser does not support HTML5 video.   Phone is awesome no doubt camera also as expected Smooth phoneBut There is no adaptor charger iphone provide only data cable people spend 85k and then again spend for 2k for charger that is very inappropriate this is not good people will not buy if this will continue providing not charger. What’s the meaning of phone people buy phone and don’t have charger to charge the phone first experience is mine for iphone is very bad because of charger. Because new c type adaptor is not getting everywhere how people will charge his phone. 85000 is a big amount so thing about it and provide full sets of charger.
22,Amazon Customer,2020-12-02,4.0,VERY NICE PHONE,"  Very good product. I was using 6S plus till now. After using for one and half month, it’s so impressive and battery is the best. It comes whole day. Very fast and smooth. Nice design."
23,shubham,2020-12-14,5.0,What a phone should be,"  Upgraded from one plus 7 proNever used IOS before,Must say this is what phones are supposed to be.Just go for it.Early delivery by Amazon , Well packed and secure package."
24,S.Siva Ram Kris,2020-11-07,5.0,Perfect and flawless phone,"  What a masterpiece this phone is! Coming from a flagship Android phone, this looked like a big leap. It’s totally next level. What a display, what an operating system, what a processor, what a camera! This is not only a phone but master of all. Wow. It’s an engineering marvel from Apple Inc."
25,Tarun barath,2020-11-07,3.0,Excellent phone,"  Excellent phone. I have been using iPhone since iPhone 4s was launchediPhone 12 is exceptionally good phone with a lovely screen. colours are vivid and elaborate.I am pretty heavy user of my phone on a daily basis and the battery really lasts for the whole day comfortably, actually I do not have to worry regarding my battery in spite of heavy usage.Camera is very good and takes perfect picture especially the portrait mode which is actually superb.Buttery smooth operating system and iOS 14.3 is superb. I actually do not feel the difference with 120 Hz refresh rate. The phone does not really lag at all, the dual SIM capability is also lovely and helpful."
26,Aseem Mishra,2021-01-27,5.0,Snappy performance and good battery backup,"  Excellent performance, all apps open up almost instantly. Battery life is great. Gets around 4.5-5 hrs screen time with 47% remaining (last checked). Initially while restoring from iCloud it would consume a lot of battery. Give it a day or two. It would settle down."
27,Brijesh Pandey,2021-01-16,4.0,Doubtful product,  What i am feeling is there is some difference buying products on amazon and stores directly. I have compared with my friends battery life has huge change she gets a day and mine ends within 7-8 hours
28,Mahabala,2020-12-16,5.0,Overall good phone with some minor setbacks.,"  Overall good phone as it feels very premium, being made with high quality materials and has great performance. Excellent camera quality, great design and screen quality. The A14 processor is super fast and the phone never heats up even while performing intensive tasks. The speakers are very loud and clear and give out high quality sound.One problem I encountered is that  the battery life is not great but definitely above average. Another issue is the notch which makes the phone look outdated especially in 2021. The Face ID is also not useful while wearing masks which causes a lot of inconvenience since the phone doesn’t have a fingerprint scanner. The phone is also limited to a 60Hz refresh rate which again makes it less compelling than the competition which makes phones with 120Hz refresh rate at a much lower price."
29,NQ1194,2021-01-31,5.0,Supreme I phone...!!!,"  All I phone models are premium phones, coming to 12 price is to costly, but the quality is awesome.Camera, display,  processor and look of the body is premium.One think I don’t like is, phone is not coming with adapter and the headphonesOver rating for this iPhone 12 🌟🌟🌟🌟🌟"
30,Prashant H,2021-01-09,5.0,Iphone 12 review,  Good product it is little bit smaller than iphone 11 and iphone xr design is nice it is litter colour than xr and iphone 11 i face issue that face id is opening by my brother face.it is fixed after reset the face id.
31,Ananda Mukherjee,2021-01-01,5.0,"Screen size bit small.....otherwise fantastic display, fantastic sound and masterpieces 👌👌👌","  Screen size bit small.....otherwise fantastic display, fantastic sound and masterpiece 👌👌👌.....but tim cook could have given charger and earphone"
32,Customer 645,2020-12-20,5.0,Truly a smartphone,"  Comparing iPhone with Android devices, it really feels like iPhone are really smart. with smart typing and UI features, not only the phone is fast but also offers unique features like intelligent charging, health, connectivity/sleep settings which one will be surprised to use. Camera picture quality is definitely the best if not the best for iPhone.My suggestion: Truly intelligent, incredibly  fast phone one should buy !!!"
33,Sunny Uppatla,2020-12-22,4.0,Intelligence of future,"  I was an avid android user for past 25 years. This move to IPhone 12 was a calculative yet bolder definitive move.Let’s look at the some of key pointers here what I saw -- Stunning design and spectacular OLed display pouring out all the vivid colors- Smooth app flow and transitions- Longer battery life 7-8 hrs without automation (best in my usage)-  Camera is just bringing the life out of all the captures you make.*I am using Apple 20w charger which is insane at charging 20-25 percent in 7 mins. So, In 15 mins, you are having half the battery up. Love the border outlay of this beauty. It’s almost a month of usage and I can boldly say, “The best switch one can make”. I know the price tag is always hefty but then you are choosing a long term reliability. Kudos to Apple Inc and Amazon for amazing delivery in 2 days.*Please avoid playing Apple Arcade games as they would drain you battery like anything. In my best guess, It is not rightly optimised for it.*What I come to see is why Apple looked for environmental protection by removing charger and earphones. I guess it should come at a reasonable price then. It really put me off but then you know what the market player is serving."
34,Amesh Gharat,2021-03-26,4.0,DEFECTIVE / REFURBISHED IPHONE,  The item looks to be defective and I really doubt that it’s a refurbished / seconds / faulty device sold by the dealer. I had put up for replacement but I don’t know it doesn’t shows pick up. It’s showing replacement possible till 01 Mar 21 but not showing and date of collection.
35,Thanmai,2020-12-02,5.0,Love at first sight!,"  Just by looking at it you will love the phone. I got blue it looks ravishing. Since we most of us (if not all) will go for cover, would still suggest to go with white because with back covers white would look good. I too took quite some time to decide between blue and white. White's novelty is timeless.You can go for this one without any second thoughts IF YOU PLAN TO KEEP THIS FOR 3-4 YRS AT LEAST ELSE better go for iphone 11 as it would be more value for money."
36,S.Siva Ram Kris,2020-11-07,5.0,Timely and safe delivery by amazon and wonderful Apple product as usual,"  I was aware about Apple product but was scared to order online, however i have a great experience with amazon to buy many expensive products therefore ordered and amazon kept my trust intact. Apple IPhone is awesome as usual good battery life, quick processor and nice performance."
37,Tarun barath,2020-11-07,3.0,when will I get my money back?,  The battery is not charging and repeated request for return of the product has fallen on deaf ears. This is quite frustrating and  disgusting .Can somebody immidialey look into this serious issue and refund my money
38,Vishnu Allampalli,2020-11-10,5.0,Due to low battery always be in mind but if you leave that top notch smartphone A14 bionic chip🙌,  So till now what concerns me is only the battery and everything by far is top notch and I was a little hesitating before purchasing it since this was my first interaction with the iOS environment but now I am used to it and works fine. Since I am not a fan of too much customization so for me this UI is totally fine. Plus gaming experience was also good till now I played nfs no limit and it works like a champ. I also really like it's ram working since my app in background keeps running without always reloading it when again opened.One last since I haven't used 120 Hz refresh rate so I can’t tell about it but since my old phone was also no having it so for me it's awesome👌.Camera is also awesome till now I haven't used it much due to covid but in low light it worked too good no doubt about it:).Hope this will help someone😁
39,amit,2020-12-07,5.0,Review,"  Amazing product and very nice quality.I usually never order electronics online, i always buy it from a physical store. This time i checked everywhere for 256gb iphone 12 but it was out of stock and i had no option but to buy it online.I was a bit worried about the fraud and fake products but when i opened the package I realised that this cannot be fake."
40,manu,2021-03-12,4.0,Nice excellent but missing charger not corect,"  Camera quality is excellent, battery life is also ok. Compare to android not much. But good  recently  quite. I am first time user, apple  company sells now separate every part business like .  This is not corect"
41,Aman Srivastava,2020-12-11,5.0,"Best deal, Got it 128gb for 75900 😁😁",  Well i dont have to say much because my phone is working perfect so i would just say go for it if you really think you can buy this phone. Dont worry its worth having it. Its been almost 1 month and i havent face any issue even battery backup is fine for me.
42,Aditya,2021-02-26,1.0,A Powerpacked Device that ticks all the boxes,"  Having transitioned from the World of Android to IOS, it seems like a truckload of difference in these 2 worlds.... The Simplicity, Refinement and Ease of Use on this Ecosystem is just too Classic.... The Battery Life, The Haptics, The Camera and the overall Fluidity of IOS makes an impressive impact in terms usage.... For me, using an IPhone for the first time reaffirms me of one thing: I don’t think I will want to switch back to the Android Ecosystem ever again....."
43,sanju shukla,2021-02-17,5.0,Classy mobile with less battery capacity,"  Have used for more than a week ...display is good and classy, camera is very good even in low light, product is light weight as compared to previous versions XR ,battery lasts for two days with very low usage and charging takes around 2h15mins from 10 to 100% with 12W apple charger..overall it’s a good mobile with less battery backup that might have been boosted ..."
44,Prof Dhillon,2021-03-06,5.0,Good phone but with no charger or earphones,  I was disappointed to see no charger and earphones. It’s sad that Apple decided to increase the price of iPhones every year and still doing so much of cost cutting. :/
45,KUMAR RAJESH CHOUDHARY,2021-04-08,1.0,Not much of difference from predecessor.,  If you have iphone 11/XR not much of a change expect the change in look from outside . From inside its still functions the same.Battery like : Can be improved. Okayish currently.Value of money: Not really. 80k INR is a lot of money.
46,Divyansh srivastava,2021-03-05,4.0,The phone to buy,  12 vanilla is the phone to buy for the average user. Its the sweet spot for 🍎 fans. If you really want the 3 cameras go for the pro max.
47,Kalp,2021-01-09,5.0,Worth every penny 😍🤩,  Your browser does not support HTML5 video.   I am so happy to have this device.. It feels too premium.. Blazing fast and ultra premium.. Loved it 😍😍😍😍🤩🤩🤩🤩
48,S.Siva Ram Kris,2020-11-07,5.0,Fault quality product delivered,"  The product you delivered actually not value for money, dent products which I can't identify were apple authorized personDetected and found dent and they denied my service under warranty, very bad product delivered and after service also not satisfying, look like refurbished product delivered to me. Will go for consumer court to satisfy the complaint."
49,Tarun barath,2020-11-07,3.0,Fantastic beast and Where to find it ! Amazon,"  The Best iphone i have used ,Camera is a beast, speakers are superb, display is unbelievable, and battery has never been better!But the touch response has been poor i am unable to type like i used to do on my iphone 7 or 8."
50,G narayana reddy,2021-01-09,5.0,Amazing All-rounder,"  You can get good phones for cheaper. You can also get phones with certain features that you don’t get here. But if you are looking for the most well rounded phone that ticks all the right boxes with sheer simplicity, this is for you."
51,Keshav,2021-01-22,5.0,This phone will definitely address your needs!,"  I want to say that battery backup of iPhone has been considerably improved. Everything is the best. If you're a average user who only indulge in social life and little bit of photography no need to go for Pro/ Pro Max, iPhone 12 will do the justice."
52,mudassir mansuri,2021-03-20,5.0,Best IPhone ever,"  Excellent iphone ever. This was my first Iphone, previously i was hardcore android user but after switching to IPhone was too easy. Ios 14 is buttery smooth. Android user will not face huge issue in switch.Best CameraBattery life Average20 watts iphone charger is bestNo heating issue observed.Overall best iphone for android users to switch with"
53,mano,2021-02-06,5.0,Great phone under 67500₹ and in US after tax it cost 65500₹,  Got it for around 67500 and it’s awesome. I used 6s before and transitioning to this was pretty good. And the adapter I got for around 1800 so under 70000₹ it’s an okay deal as in US the phone will cost around 897$ including taxes which converts to around 65483₹ and in India after hdfcbank discount and emi discount it cost around 67500₹ so in short a good deal on Iphone 12.
54,Deepti,2021-02-25,5.0,Inferior 5g capability,  Good phone and good color if you're buying the blue one. Rest things are fine but this device for India does not have all 5g capabilities (mmWave missing). There is no 5g antenna cut out like in US units for mmWave. However sub 6 is available which is a way inferior.
55,Manu Jain,2021-01-22,3.0,Extremely bad call quality,  I keep hearing crackling sound when on calls. There is no voice clarity and it takes like 10 mins to connect to call. My cheaper android phone is so smooth in call quality and connects instantly. Both the phones have same network carrier.Can I get this phone replaced or get refunded?
56,AM,2020-11-11,5.0,Great phone,  Great phone. The battery improves after a few cycles
57,Sahil Thakare,2020-11-07,5.0,Awesome Phone,  This iPhone is amazingly good and camera is awesome. I will update about battery after few days of usage.
58,shijin,2021-04-08,1.0,Iphone 12 Oled panel has yellow tint.,  I am surprise no body mentioned this on the review. I had iphone X previously and bought iphone 12 now. The major issue that i saw is the display of iphone 12 has weird yellow tint to it compare to older models. Just for the comparisons i have added the photo of my 3year Iphone X (left) and iphone 12(right). The white looks is much cooler in iphone X compare to iphone 12. Dont know if it is a hardware issue or software issue.
59,umer khan,2021-02-13,4.0,Power key not working after 20 day use,  My phone power key not working after 20 days use ..now m helpless where m going for bacause amazon gives 10 day replacement only and iphone store so far from I’m lived
60,S.Siva Ram Kris,2020-11-07,5.0,Great phone,"  So far loving my new iPhone.The battery life is good. Just need to charge once a day. I used my camera for recording videos for 2-3 hours , still the battery survived through out the day.Camera is good."
61,Tarun barath,2020-11-07,3.0,Feel too premium,"  Your browser does not support HTML5 video.   Changed from iPhone X, Got the new blue colour, something unique from apple. Great battery backup and the edges now look too premium. Overall, such a great buy 🤩"
62,Aman,2020-11-17,5.0,The camera does not work,  My camera does not work
63,Legendary,2020-12-15,5.0,Mobile performance is not good for PUBG,  This phone needs too much optimisation aim assist not working in PUBG in my phone
64,Krishna Gondchar,2021-04-10,5.0,Most awaited iPhone !!,"  Firstly it’s thin, weight is reduced. Apple changed the display to Super Retina edge-to-edge OLED now. It features Ceramic Shield to protect from hardest falls and drops. You are definitely going to love the edges this time. A good option to upgrade from previous models."
65,Rishabh Jaggi,2021-03-10,5.0,What's new with 12?,"  Apple has dropped ear phone and charger  adapter from pack. Charger adapter are required for first time users. Atleast there should be an option to.Whatsup and FB should be part of started apps now.It's too early to comment on newer model, but nothing much changes as far as UI is concerned it still same icons which were ther for iphone 5. Doesn't feel you are bpught phone 4 years ago."
66,parimal singh,2021-02-20,4.0,Never buying again or reccomending others.,  Reviewing after 10 days of use. I am very dissapointed with the battery life. Back camera is ok but the heating issue is worst. May be I have expected alot. And also no return policy by amazon on this product.
67,Amazon Customer,2021-04-04,1.0,True Beauty.♥️💟♥️,"  Once an iphone lover, always an iphone lover.The phone is great with smooth user interface, suits basic needs and has a great camera quality."
68,Poonam,2020-11-15,5.0,Faulty,  The product found faulty after one week The microphone of speaker was not working in the phone. It Was in warranty period so got replaced by new one.
69,Mahesh Yadav,2020-12-21,5.0,"Iphone 6 to Iphone 12, Wauhhhhhhhhh",  What an upgrade for me from my almost 6 year old Iphone 6 to Iphone 12. Worth every penny. Bought the 128GB blue here on Amazon and got delivery in just 3 days. Perfect phone for my needs and feels solid when holding it on hand. The display and feel - So much satisfied with Iphone 12VERY VERY HAPPY.
70,Bishal Roy,2021-03-06,4.0,Love it,"  I love my iPhone 12Battery superb it will last for whole dayScreen Oled rocksUpgrading from 7 n it’s worth waiting.It will be better If Mrp is little lower 😉 like 70,000"
71,manoj,2021-01-06,3.0,Very disappointed about finger prints 🥺,  My first iPhone..... I m not satisfied with 12
72,S.Siva Ram Kris,2020-11-07,5.0,Good buy !!,  Great device. Amazing Cameras. Battery is good for a day. I don’t play games so I’m not sure about it.
73,Tarun barath,2020-11-07,3.0,hehehehe,"  got it on my birthday, Thanks Jejus :D"
74,draj059,2021-01-06,4.0,Great phone,"  Impeccable phone from apple, upgraded from iPhone 7. Battery could have been a little longer though"
75,Milandeep singh,2021-01-19,5.0,IPHONE 12 Clicking good pictures,"  have recently purchased an iPhone 12 here's how you can click some stunning looking night shotsClicking good pictures at night required professional-grade cameras earlier, but now people can click some really good photos using just their smartphones. And this goes one step further with the new Apple iPhone 12 series."
76,Sameer,2021-01-21,1.0,Great Phone,  Upgraded to iPhone 12 and guess what? Not at all disappointed.. Apple has done a great job and iPhone 12 has everything you need.Go for it without a doubt..
77,Ashutosh m.,2021-03-24,1.0,I phone 12 product red 128 GB review,"  Well I must say this product red color looks very trendy. I'm impressed with the battery life of the phone. As you know it doesn't come up with charger, you do need to buy separate one. Still I think its value for money"
78,Girish Panchal,2021-01-03,5.0,Truly Apple!,  First of all the look and feel of this phone is absolutely amazing...this is such a welcoming change after using an android phone for about 18 months...although a higher refresh would have been nicer but with this gorgeous screen you don’t really miss it...all in all a great phone !!
